iter	Passed	Remaining
411	4166	5946
412	4176	5936
413	4185	5924
414	4195	5913
415	4204	5903
416	4214	5891
417	4223	5881
418	4233	5869
419	4242	5859
420	4252	5847
421	4261	5837
422	4271	5826
423	4280	5814
424	4290	5804
425	4299	5793
426	4308	5781
427	4318	5770
428	4327	5759
429	4336	5748
430	4346	5737
431	4357	5729
432	4366	5718
433	4376	5707
434	4385	5695
435	4394	5685
436	4405	5675
437	4414	5664
438	4423	5652
439	4432	5641
440	4442	5630
441	4453	5621
442	4462	5610
443	4471	5599
444	4481	5589
445	4491	5578
446	4501	5568
447	4510	5557
448	4519	5546
449	4529	5535
450	4538	5524
451	4547	5513
452	4557	5502
453	4568	5494
454	4577	5483
455	4587	5472
456	4597	5462
457	4606	5451
458	4616	5441
459	4625	5429
460	4634	5418
461	4644	5408
462	4653	5397
463	4663	5387
464	4672	5375
465	4682	5365
466	4691	5354
467	4701	5343
468	4710	5333
469	4720	5322
470	4730	5312
471	4739	5301
472	4749	5291
473	4759	5281
474	4768	5270
475	4778	5260
476	4787	5249
477	4797	5239
478	4806	5228
479	4816	5217
480	4825	5206
481	4834	5195
482	4844	5185
483	4853	5174
484	4863	5164
485	4873	5154
486	4883	5143
487	4893	5133
488	4902	5123
489	4912	5112
490	4921	5102
491	4931	5091
492	4942	5082
493	4951	5071
494	4960	5060
495	4970	5050
496	4979	5039
497	4990	5030
498	4999	5019
499	5009	5009
500	5018	4998
501	5027	4987
502	5037	4977
503	5047	4966
504	5056	4956
505	5065	4945
506	5075	4935
507	5085	4925
508	5094	4914
509	5104	4904
510	5113	4893
511	5123	4883
512	5133	4873
513	5143	4863
514	5155	4855
515	5165	4844
516	5174	4834
517	5185	4825
518	5194	4814
519	5204	4804
520	5214	4793
521	5223	4782
522	5232	4772
523	5241	4761
524	5251	4751
525	5260	4740
526	5270	4730
527	5279	4719
528	5288	4709
529	5299	4699
530	5309	4689
531	5318	4678
532	5327	4668
533	5337	4657
534	5347	4647
535	5356	4636
536	5365	4626
537	5375	4616
538	5384	4605
539	5395	4595
540	5404	4585
541	5415	4576
542	5424	4565
543	5434	4555
544	5444	4545
545	5453	4534
546	5463	4524
547	5473	4514
548	5482	4503
549	5492	4493
550	5501	4482
551	5511	4473
552	5520	4462
553	5530	4452
554	5540	4442
555	5549	4431
556	5559	4421
557	5568	4411
558	5578	4400
559	5588	4390
560	5597	4379
561	5606	4369
562	5616	4359
563	5626	4349
564	5635	4338
565	5644	4328
566	5654	4318
567	5664	4308
568	5674	4297
569	5683	4287
570	5693	4277
571	5703	4267
572	5712	4257
573	5722	4247
574	5732	4236
575	5741	4226
576	5751	4216
577	5761	4206
578	5771	4196
579	5780	4185
580	5790	4175
581	5799	4165
582	5809	4155
583	5819	4145
584	5828	4135
585	5838	4124
586	5848	4114
587	5858	4104
588	5868	4095
589	5879	4085
590	5890	4076
591	5901	4067
592	5910	4056
593	5920	4046
594	5929	4036
595	5939	4026
596	5949	4016
597	5958	4005
598	5968	3995
599	5977	3985
600	5987	3975
601	5997	3965
602	6007	3954
603	6017	3945
604	6026	3934
605	6036	3924
606	6045	3914
607	6055	3903
608	6065	3893
609	6074	3883
610	6084	3873
611	6093	3863
612	6102	3852
613	6112	3843
614	6122	3832
615	6133	3823
616	6143	3813
617	6159	3807
618	6168	3796
619	6178	3786
620	6187	3776
621	6197	3766
622	6206	3756
623	6216	3745
624	6225	3735
625	6235	3725
626	6245	3715
627	6254	3705
628	6264	3694
629	6274	3684
630	6283	3674
631	6293	3664
632	6303	3654
633	6312	3644
634	6322	3634
635	6331	3623
636	6342	3614
637	6351	3604
638	6361	3593
639	6370	3583
640	6380	3573
641	6390	3563
642	6400	3553
643	6410	3543
644	6420	3533
645	6429	3523
646	6440	3513
647	6450	3503
648	6459	3493
649	6469	3483
650	6478	3473
651	6489	3463
652	6498	3453
653	6508	3443
654	6517	3433
655	6527	3422
656	6537	3413
657	6546	3402
658	6557	3393
659	6567	3383
660	6576	3372
661	6586	3362
662	6595	3352
663	6605	3342
664	6614	3332
665	6624	3322
666	6634	3312
667	6643	3301
668	6655	3292
669	6665	3282
670	6674	3272
671	6684	3262
672	6693	3252
673	6703	3242
674	6713	3232
675	6722	3222
676	6733	3212
677	6743	3202
678	6753	3192
679	6763	3182
680	6772	3172
681	6782	3162
682	6792	3152
683	6801	3142
684	6811	3132
685	6820	3122
686	6830	3112
687	6840	3101
688	6850	3092
689	6860	3082
690	6870	3072
691	6880	3062
692	6889	3052
693	6899	3042
694	6909	3032
695	6919	3022
696	6928	3012
697	6938	3001
698	6947	2991
699	6958	2982
700	6967	2972
701	6978	2962
702	6988	2952
703	6997	2942
704	7007	2932
705	7016	2922
706	7027	2912
707	7036	2902
708	7046	2892
709	7056	2882
710	7065	2871
711	7076	2862
712	7085	2852
713	7095	2842
714	7105	2832
715	7114	2821
716	7125	2812
717	7135	2802
718	7145	2792
719	7156	2783
720	7171	2775
721	7181	2765
722	7191	2755
723	7201	2745
724	7210	2735
725	7221	2725
726	7230	2715
727	7241	2705
728	7251	2695
729	7260	2685
730	7271	2675
731	7280	2665
732	7291	2655
733	7300	2645
734	7310	2635
735	7320	2625
736	7330	2615
737	7340	2605
738	7350	2595
739	7359	2585
740	7369	2576
741	7379	2565
742	7389	2555
743	7399	2546
744	7408	2535
745	7419	2526
746	7429	2516
747	7438	2506
748	7448	2496
749	7458	2486
750	7468	2476
751	7478	2466
752	7488	2456
753	7498	2446
754	7507	2436
755	7517	2426
756	7527	2416
757	7536	2406
758	7547	2396
759	7557	2386
760	7567	2376
761	7577	2366
762	7586	2356
763	7598	2347
764	7609	2337
765	7619	2327
766	7630	2317
767	7639	2307
768	7649	2297
769	7659	2287
770	7668	2277
771	7679	2267
772	7689	2258
773	7700	2248
774	7710	2238
775	7720	2228
776	7729	2218
777	7740	2208
778	7749	2198
779	7759	2188
780	7769	2178
781	7779	2168
782	7789	2158
783	7799	2148
784	7808	2138
785	7818	2128
786	7828	2118
787	7838	2108
788	7847	2098
789	7857	2088
790	7868	2078
791	7878	2069
792	7892	2060
793	7903	2050
794	7913	2040
795	7925	2031
796	7935	2021
797	7945	2011
798	7956	2001
799	7965	1991
800	7975	1981
801	7985	1971
802	7995	1961
803	8006	1951
804	8015	1941
805	8025	1931
806	8035	1921
807	8044	1911
808	8054	1901
809	8064	1891
810	8074	1881
811	8084	1871
812	8094	1861
813	8105	1852
814	8115	1842
815	8125	1832
816	8135	1822
817	8145	1812
818	8155	1802
819	8167	1792
820	8181	1783
821	8191	1773
822	8201	1763
823	8211	1753
824	8221	1743
825	8231	1734
826	8241	1724
827	8251	1714
828	8261	1704
829	8270	1694
830	8282	1684
831	8292	1674
832	8302	1664
833	8311	1654
834	8321	1644
835	8332	1634
836	8342	1624
837	8352	1614
838	8362	1604
839	8371	1594
840	8381	1584
841	8391	1574
842	8401	1564
843	8411	1554
844	8421	1544
845	8432	1534
846	8442	1524
847	8451	1514
848	8461	1505
849	8471	1494
850	8481	1484
851	8491	1475
852	8500	1464
853	8511	1455
854	8521	1445
855	8532	1435
856	8542	1425
857	8551	1415
858	8561	1405
859	8572	1395
860	8581	1385
861	8591	1375
862	8601	1365
863	8610	1355
864	8620	1345
865	8630	1335
866	8641	1325
867	8650	1315
868	8660	1305
869	8671	1295
870	8681	1285
871	8691	1275
872	8701	1265
873	8711	1255
874	8722	1246
875	8732	1236
876	8743	1226
877	8753	1216
878	8763	1206
879	8773	1196
880	8783	1186
881	8792	1176
882	8802	1166
883	8812	1156
884	8822	1146
885	8832	1136
886	8842	1126
887	8853	1116
888	8863	1106
889	8873	1096
890	8883	1086
891	8893	1076
892	8903	1066
893	8913	1056
894	8923	1046
895	8935	1037
896	8945	1027
897	8955	1017
898	8965	1007
899	8974	997
900	8984	987
901	8995	977
902	9004	967
903	9014	957
904	9024	947
905	9034	937
906	9044	927
907	9054	917
908	9064	907
909	9074	897
910	9084	887
911	9093	877
912	9103	867
913	9113	857
914	9123	847
915	9133	837
916	9143	827
917	9153	817
918	9164	807
919	9174	797
920	9190	788
921	9200	778
922	9210	768
923	9220	758
924	9230	748
925	9240	738
926	9250	728
927	9261	718
928	9271	708
929	9281	698
930	9291	688
931	9301	678
932	9311	668
933	9322	658
934	9331	648
935	9342	638
936	9352	628
937	9362	618
938	9372	608
939	9382	598
940	9392	588
941	9402	578
942	9412	568
943	9421	558
944	9432	548
945	9443	539
946	9452	529
947	9463	519
948	9474	509
949	9484	499
950	9493	489
951	9504	479
952	9514	469
953	9524	459
954	9534	449
955	9544	439
956	9554	429
957	9564	419
958	9573	409
959	9584	399
960	9594	389
961	9604	379
962	9614	369
963	9624	359
964	9635	349
965	9645	339
966	9656	329
967	9669	319
968	9685	309
969	9698	299
970	9711	290
971	9721	280
972	9733	270
973	9744	260
974	9755	250
975	9767	240
976	9778	230
977	9789	220
978	9800	210
979	9811	200
980	9822	190
981	9833	180
982	9844	170
983	9855	160
984	9866	150
985	9878	140
986	9889	130
987	9903	120
988	9917	110
989	9932	100
990	9943	90
991	9954	80
992	9965	70
993	9976	60
994	9987	50
995	9998	40
996	10009	30
997	10019	20
998	10030	10
999	10041	0
