iter	Logloss
0	0.6587595003
1	0.6273100868
2	0.5970250637
3	0.5641643908
4	0.5297874576
5	0.5058549981
6	0.4759974798
7	0.4538875746
8	0.4290436074
9	0.408326622
10	0.3869003085
11	0.3714959412
12	0.3575008577
13	0.3408061329
14	0.3289500367
15	0.3177688903
16	0.3071890708
17	0.292899272
18	0.2788844358
19	0.2651974463
20	0.2550976671
21	0.2480632095
22	0.2376774036
23	0.2287064151
24	0.2200719554
25	0.2110686856
26	0.2027413383
27	0.1950020961
28	0.1881191744
29	0.1817102949
30	0.1755245261
31	0.1719181446
32	0.1680258699
33	0.1623569638
34	0.1575576427
35	0.1531420934
36	0.1503160458
37	0.1459829603
38	0.1424049771
39	0.1386536955
40	0.1355637086
41	0.1325059636
42	0.1296947165
43	0.1263333824
44	0.1238662761
45	0.1214382876
46	0.1197338974
47	0.1175411124
48	0.1154456001
49	0.1140470042
50	0.1122979018
51	0.1101762687
52	0.1083067704
53	0.1072575385
54	0.1055311561
55	0.1037616375
56	0.1023537476
57	0.1013963419
58	0.09983859008
59	0.09885756613
60	0.09781835969
61	0.09637895792
62	0.0953587851
63	0.09408783305
64	0.09300822775
65	0.09167210884
66	0.09096505028
67	0.0902602783
68	0.08940275703
69	0.08877301917
70	0.08830516968
71	0.08738070747
72	0.08695202591
73	0.08619025604
74	0.08560524659
75	0.08494225148
76	0.08430957785
77	0.08375210034
78	0.08343149431
79	0.08304119181
80	0.08235585663
81	0.08191164887
82	0.08147137603
83	0.08084385089
84	0.0805099103
85	0.07974683528
86	0.07906260089
87	0.07843823843
88	0.0778061289
89	0.07753367514
90	0.07729337204
91	0.07680099325
92	0.07647531287
93	0.0761310539
94	0.07552241469
95	0.07506160884
96	0.07482419676
97	0.07439826428
98	0.07377664739
99	0.07351792135
100	0.07314413266
101	0.07291673837
102	0.07258162667
103	0.07225150214
104	0.07195186912
105	0.07143834031
106	0.07111995155
107	0.07093520532
108	0.07061431373
109	0.07043527486
110	0.07001220443
111	0.06969043558
112	0.0693338405
113	0.06907873321
114	0.06889303503
115	0.06844556419
116	0.06829497161
117	0.06809455262
